country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,lam,a
Angola,AGO,1,2024-11-10,2024-12-29,reached last data,4,8,Weibull,0.9981682339138988,4.019584341227518,0.13357877026479886,6.475524241109249
Benin,BEN,1,2022-06-19,2022-07-17,4 consecutive weeks no increase,3,5,Weibull,1.0,3.0,0.2594741163217563,79.92488088554614
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Weibull,0.9998204477530162,3373.676876800356,0.0447106665155037,3.219514863812878
C?te d??voire,CIV,1,2024-06-30,2024-12-22,4 consecutive weeks no increase,107,26,Weibull,0.9988170809128685,108.48588935220248,0.06224553691740118,2.5953710592581207
Cameroon,CMR,1,2022-02-27,2022-04-10,4 consecutive weeks no increase,3,7,Weibull,0.9984650447506519,3.0091302352045783,0.20624042329341644,5.713013454596829
Cameroon,CMR,2,2022-04-24,2022-05-22,4 consecutive weeks no increase,1,5,Weibull,1.0,1.0,0.2596548171197905,77.5616688531688
Cameroon,CMR,3,2022-05-29,2022-07-24,4 consecutive weeks no increase,4,9,Weibull,0.9865535184737929,4.05865337663132,0.14699063404317467,3.8505148655020585
Cameroon,CMR,4,2022-09-04,2022-12-04,4 consecutive weeks no increase,10,14,Weibull,0.9907461391351362,10.153397526911267,0.09427674202368846,4.309129153107443
Cameroon,CMR,5,2023-05-14,2023-08-20,4 consecutive weeks no increase,25,15,Weibull,0.9862681939906789,24.452517239931232,0.1753828030850844,2.693609173812568
Cameroon,CMR,6,2023-09-03,2023-10-29,4 consecutive weeks no increase,2,9,Weibull,0.9663268352023384,2.048575522508389,0.1567112679240001,2.481777209273089
Cameroon,CMR,7,2024-01-07,2024-02-04,4 consecutive weeks no increase,2,5,Weibull,0.9999999999999996,2.0,0.259413323606961,80.89652787867529
Cameroon,CMR,8,2024-03-31,2024-05-05,4 consecutive weeks no increase,3,6,Weibull,0.9999999999999996,3.0,0.24627327910763339,60.10479887688184
Cameroon,CMR,9,2024-08-25,2024-09-22,4 consecutive weeks no increase,1,5,Weibull,1.0,1.0,0.2596548171197905,77.5616688531688
Cameroon,CMR,10,2024-11-10,2024-12-08,4 consecutive weeks no increase,3,5,Weibull,1.0,3.0,0.2594741163217563,79.92488088554614
Central African Republic,CAF,1,2022-01-02,2022-05-08,4 consecutive weeks no increase,19,19,Weibull,0.9932515378463295,19.373115490657536,0.08794682323631901,2.4182290206075354
Central African Republic,CAF,2,2022-07-10,2022-11-06,4 consecutive weeks no increase,9,18,Weibull,0.9788095027557778,13.997158923151604,0.048756149715847415,1.400206325274572
Central African Republic,CAF,3,2022-12-04,2023-04-16,4 consecutive weeks no increase,17,20,Weibull,0.9969060469066878,17.445756696298755,0.07716352994246506,2.4100780111912745
Central African Republic,CAF,4,2023-12-17,2024-04-21,4 consecutive weeks no increase,21,19,Weibull,0.9925401665541994,21.793905757013228,0.0767431196262119,2.558963620760073
