country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,lam,a
Guinea,GIN,1,2024-01-07,2024-08-04,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Guinea,GIN,2,2024-12-01,2024-12-22,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Kenya,KEN,1,2024-07-21,2024-08-11,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Kenya,KEN,2,2024-08-18,2025-01-19,reached last data,35,23,Weibull,0.993340723331426,55.67116993210073,0.037535713509102175,2.292135990069076
Liberia,LBR,1,2022-07-24,2022-08-28,4 consecutive weeks no increase,3,6,Weibull,0.9983679509884045,3.010814703108254,0.20619523715227267,5.709731740322012
Liberia,LBR,2,2022-11-20,2022-12-25,4 consecutive weeks no increase,3,6,Weibull,0.9858028198813515,3.032395234290123,0.1873918175909104,6.32633579369543
Liberia,LBR,3,2023-01-22,2023-04-02,4 consecutive weeks no increase,4,11,Weibull,0.9896647468133439,4.112850825199489,0.11832958431375618,2.8225617961945417
Liberia,LBR,4,2023-04-16,2023-05-07,4 consecutive weeks no increase,2,4,Weibull,1.0,2.0,0.2593436880705124,81.632012382721
Liberia,LBR,5,2023-11-12,2023-12-17,4 consecutive weeks no increase,5,6,Weibull,0.9949950592289953,5.028790205805203,0.20417496261729912,5.003752925701272
Liberia,LBR,6,2024-01-07,2024-04-14,4 consecutive weeks no increase,5,15,Weibull,0.9915023149923425,5.2474472680833,0.0937036292108621,2.1611880232226657
Liberia,LBR,7,2024-08-04,2024-12-22,4 consecutive weeks no increase,58,21,Weibull,0.9924455290795064,59.42013392789006,0.05653606934915582,5.643832005065391
Liberia,LBR,8,2025-01-12,2025-01-19,reached last data,1,2,Weibull,0.9999999999999996,7.455608910607947,0.16331711361661175,95.44973190651645
Mauritius,MUS,1,2024-10-20,2024-11-10,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
