country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,r,t0
Angola,AGO,1,2024-11-10,2024-12-22,4 consecutive weeks no increase,4,7,Logistic,0.9977433785179995,4.037146929430082,1.34795312056522,5.020870471694629
Benin,BEN,1,2022-06-19,2022-07-10,4 consecutive weeks no increase,3,4,Logistic,0.9999850115737713,3.0034641868777827,9.999999999999998,3.504545837819532
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Logistic,0.9991251961121237,3321.0218912513424,0.2470754320508089,19.828712033414927
C?te d??voire,CIV,1,2024-06-30,2024-12-15,4 consecutive weeks no increase,107,25,Logistic,0.9972898865765836,107.9329008634334,0.2869811639420726,14.033538514852774
Cameroon,CMR,1,2022-02-27,2022-04-03,4 consecutive weeks no increase,3,6,Logistic,0.997727913570668,3.0241180968303905,1.8284896822440142,4.513634512470877
Cameroon,CMR,2,2022-04-24,2022-05-15,4 consecutive weeks no increase,1,4,Logistic,0.9999850115749663,1.0011547286184423,9.999999999999998,3.504545809417203
Cameroon,CMR,3,2022-05-29,2022-07-17,4 consecutive weeks no increase,4,8,Logistic,0.9844209143080713,4.136731765978081,0.8704993571447461,6.236317268708857
Cameroon,CMR,4,2022-09-04,2022-11-27,4 consecutive weeks no increase,10,13,Logistic,0.9898193938299937,10.454968524184142,0.5988648158633102,9.830122427953265
Cameroon,CMR,5,2023-05-14,2023-08-13,4 consecutive weeks no increase,25,14,Logistic,0.9847742970784317,24.382151080734175,0.8371375540120196,5.003284669643444
Cameroon,CMR,6,2023-09-03,2023-09-24,4 consecutive weeks no increase,1,4,Logistic,0.9999850115749663,1.0011547286184423,9.999999999999998,3.504545809417203
Cameroon,CMR,7,2023-10-01,2023-10-22,4 consecutive weeks no increase,1,4,Logistic,0.9999850115749663,1.0011547286184423,9.999999999999998,3.504545809417203
Cameroon,CMR,8,2024-01-07,2024-01-28,4 consecutive weeks no increase,2,4,Logistic,0.9999850115716754,2.0023094590493726,9.999999999999998,3.5045458876394378
Cameroon,CMR,9,2024-03-31,2024-04-28,4 consecutive weeks no increase,3,5,Logistic,0.9999999984989223,3.00004579707086,9.991094500569757,4.069378780065695
Cameroon,CMR,10,2024-08-25,2024-09-15,4 consecutive weeks no increase,1,4,Logistic,0.9999850115749663,1.0011547286184423,9.999999999999998,3.504545809417203
Cameroon,CMR,11,2024-11-10,2024-12-01,4 consecutive weeks no increase,3,4,Logistic,0.9999850115737713,3.0034641868777827,9.999999999999998,3.504545837819532
Central African Republic,CAF,1,2022-01-02,2022-03-06,4 consecutive weeks no increase,12,10,Logistic,0.9867414644659449,12.609780792859796,0.6110808084819057,7.526722071602534
Central African Republic,CAF,2,2022-03-13,2022-05-01,4 consecutive weeks no increase,7,8,Logistic,0.9924535736903879,6.693316513611246,3.3318812920410092,3.90238233134082
Central African Republic,CAF,3,2022-07-10,2022-08-28,4 consecutive weeks no increase,4,8,Logistic,0.9833665910348837,3.9977970759922994,0.9204029799136796,4.86583482683567
Central African Republic,CAF,4,2022-09-04,2022-10-30,4 consecutive weeks no increase,5,9,Logistic,0.9735631878771379,5.2932264128214,0.6897874093526314,7.343430853583529
Central African Republic,CAF,5,2022-12-04,2023-04-09,4 consecutive weeks no increase,17,19,Logistic,0.9953701243007825,17.34864543378538,0.3325749389585924,11.25011513717807
Central African Republic,CAF,6,2023-12-17,2024-03-03,4 consecutive weeks no increase,14,12,Logistic,0.9860646602068514,14.875648923809552,0.49749248438384747,9.04730085212019
Central African Republic,CAF,7,2024-03-10,2024-04-14,4 consecutive weeks no increase,7,6,Logistic,0.9974093691486163,6.917281987794596,2.920315605601604,3.932436254018365
