country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,alpha,beta
Angola,AGO,1,2024-11-10,2024-12-22,4 consecutive weeks no increase,4,7,Gompertz,0.9974831139216553,4.083985320524713,58.16159145128264,0.901137732033923
Benin,BEN,1,2022-06-19,2022-07-10,4 consecutive weeks no increase,3,4,Gompertz,0.9999999002530743,3.00036225549732,12871225381365.018,9.353468813248389
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Gompertz,0.9998010557265051,4096.223448159037,9.826271670061276,0.12098133172926236
C?te d??voire,CIV,1,2024-06-30,2024-12-15,4 consecutive weeks no increase,107,25,Gompertz,0.9990225199335042,114.36488629185226,8.308948183266956,0.17548185099425614
Cameroon,CMR,1,2022-02-27,2022-04-03,4 consecutive weeks no increase,3,6,Gompertz,0.9977848995142604,3.041567417974525,192.5111644751424,1.2723137375583218
Cameroon,CMR,2,2022-04-24,2022-05-15,4 consecutive weeks no increase,1,4,Gompertz,0.9999998116482041,1.0001654671090963,4221542745870.226,8.995977927920139
Cameroon,CMR,3,2022-05-29,2022-07-17,4 consecutive weeks no increase,4,8,Gompertz,0.9813194294069987,4.27740765030389,18.175106034273732,0.531797106256188
Cameroon,CMR,4,2022-09-04,2022-11-27,4 consecutive weeks no increase,10,13,Gompertz,0.9846211266710142,11.06294755817956,22.60935624851049,0.35258674618068975
Cameroon,CMR,5,2023-05-14,2023-08-13,4 consecutive weeks no increase,25,14,Gompertz,0.9878834085021081,24.61465266559019,11.34400504052855,0.5755762284148513
Cameroon,CMR,6,2023-09-03,2023-09-24,4 consecutive weeks no increase,1,4,Gompertz,0.9999998116482041,1.0001654671090963,4221542745870.226,8.995977927920139
Cameroon,CMR,7,2023-10-01,2023-10-22,4 consecutive weeks no increase,1,4,Gompertz,0.9999998116482041,1.0001654671090963,4221542745870.226,8.995977927920139
Cameroon,CMR,8,2024-01-07,2024-01-28,4 consecutive weeks no increase,2,4,Gompertz,0.9999998090204048,2.000333213364979,4119894850687.35,8.988167681795474
Cameroon,CMR,9,2024-03-31,2024-04-28,4 consecutive weeks no increase,3,5,Gompertz,0.9999998272875149,3.0005050226190724,1531306210631.818,6.990737280144307
Cameroon,CMR,10,2024-08-25,2024-09-15,4 consecutive weeks no increase,1,4,Gompertz,0.9999998116482041,1.0001654671090963,4221542745870.226,8.995977927920139
Cameroon,CMR,11,2024-11-10,2024-12-01,4 consecutive weeks no increase,3,4,Gompertz,0.9999999002530743,3.00036225549732,12871225381365.018,9.353468813248389
Central African Republic,CAF,1,2022-01-02,2022-03-06,4 consecutive weeks no increase,12,10,Gompertz,0.9846547193375038,13.339978859908918,10.377836288195434,0.35961407411253354
Central African Republic,CAF,2,2022-03-13,2022-05-01,4 consecutive weeks no increase,7,8,Gompertz,0.994379860498492,6.774444350081367,496.40712956780294,1.6890611391601307
Central African Republic,CAF,3,2022-07-10,2022-08-28,4 consecutive weeks no increase,4,8,Gompertz,0.9866803440619254,4.055700404588391,14.291809122957408,0.6385158779717711
Central African Republic,CAF,4,2022-09-04,2022-10-30,4 consecutive weeks no increase,5,9,Gompertz,0.9691466965448473,5.636258148837203,12.312039882839088,0.3905845497408201
Central African Republic,CAF,5,2022-12-04,2023-04-09,4 consecutive weeks no increase,17,19,Gompertz,0.9966464397352065,18.562763328470012,6.774952342793935,0.19917964593919052
Central African Republic,CAF,6,2023-12-17,2024-03-03,4 consecutive weeks no increase,14,12,Gompertz,0.9848456388832915,15.980170986460033,9.931132326846704,0.2903347896378316
Central African Republic,CAF,7,2024-03-10,2024-04-14,4 consecutive weeks no increase,7,6,Gompertz,0.99926593776216,6.990817454266132,678.3629978754392,1.758907455390654
Central African Republic,CAF,8,2024-06-02,2025-01-12,reached last data,76,33,Gompertz,0.9940382922944176,97.1598507105773,5.5584534498819185,0.08425901477403563
