country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,lam,a
Ghana,GHA,4,2024-09-15,2024-12-22,4 consecutive weeks no increase,5,15,Weibull,0.9812847402637203,5.328190254852744,0.09982116338720376,1.9668292847406323
Guinea,GIN,1,2024-01-07,2024-08-18,4 consecutive weeks no increase,1,6,Weibull,0.9999999999999997,1.0,0.25967290516461183,77.41180057508664
Guinea,GIN,2,2024-12-01,2025-01-05,reached last data,1,6,Weibull,1.0,1.0,0.17070394085799237,123.4368940650827
Kenya,KEN,1,2024-07-21,2025-01-19,reached last data,36,27,Weibull,0.9945085542231699,52.60676310138931,0.03446850092990461,2.75741289218399
Liberia,LBR,1,2022-07-24,2022-09-11,4 consecutive weeks no increase,3,8,Weibull,0.998539590295372,3.0078991266155017,0.20627356432941846,5.7154743270593515
Liberia,LBR,2,2022-11-20,2023-01-08,4 consecutive weeks no increase,3,8,Weibull,0.9874681278993609,3.023349670171361,0.1875525731735633,6.340696059941349
Liberia,LBR,3,2023-01-22,2023-05-21,4 consecutive weeks no increase,6,18,Weibull,0.986074506830229,6.386400356708489,0.0816785834332142,2.0375063343892625
Liberia,LBR,4,2023-11-12,2023-12-31,4 consecutive weeks no increase,5,8,Weibull,0.9955315896301219,5.0207954620341635,0.20431663337214323,5.011075488922076
Liberia,LBR,5,2024-01-07,2024-04-28,4 consecutive weeks no increase,5,17,Weibull,0.9921753495616732,5.141616732918503,0.09564261481793343,2.217476099386944
Liberia,LBR,6,2024-08-04,2025-01-05,4 consecutive weeks no increase,58,23,Weibull,0.9933980160927245,58.971135586056185,0.056697464741053596,5.7068078561142785
Liberia,LBR,7,2025-01-12,2025-01-19,reached last data,1,2,Weibull,0.9999999999999996,7.455608910607947,0.16331711361661175,95.44973190651645
Mauritius,MUS,1,2024-10-20,2024-11-24,4 consecutive weeks no increase,1,6,Weibull,0.9999999999999997,1.0,0.25967290516461183,77.41180057508664
Morocco,MAR,1,2022-05-29,2024-10-06,reached last data,7,9,Weibull,0.9941919234544095,7.638614171548087,0.09256531519765807,4.6456388267395985
Mozambique,MOZ,1,2022-10-02,2022-11-06,4 consecutive weeks no increase,1,6,Weibull,0.9999999999999997,1.0,0.25967290516461183,77.41180057508664
Nigeria,NGA,1,2022-01-02,2023-08-27,4 consecutive weeks no increase,846,87,Weibull,0.9990575589160675,830.963497717502,0.02268314690557761,4.993273830111309
Nigeria,NGA,2,2023-11-05,2025-01-12,reached last data,210,63,Weibull,0.989607668549334,7806305.996216012,0.0002966826634535917,2.675613740583977
Rwanda,RWA,1,2024-07-21,2024-08-25,4 consecutive weeks no increase,4,6,Weibull,1.0,4.0,0.2593379492467541,81.62169381836308
Rwanda,RWA,2,2024-09-08,2025-01-12,reached last data,78,19,Weibull,0.996902381603236,81.67741841164096,0.06059228014160364,4.265674405266865
Sierra Leone,SLE,1,2025-01-05,2025-01-19,reached last data,8,3,Weibull,1.0,8.0,0.16470738090168607,105.35826321380658
South Africa,ZAF,1,2022-06-26,2022-09-25,4 consecutive weeks no increase,5,14,Weibull,0.9899548683359791,5.132462436003385,0.11109856566024698,2.4350978148257507
South Africa,ZAF,2,2024-05-05,2024-10-06,4 consecutive weeks no increase,25,23,Weibull,0.9958293675924896,24.423840861723228,0.09503642768474903,3.963688678307685
Sudan,SDN,1,2022-07-31,2023-04-09,reached last data,19,9,Weibull,0.9876284308514016,19.678646499672446,0.09518650346040208,6.935384585372423
Uganda,UGA,1,2024-07-21,2025-01-19,reached last data,2031,27,Weibull,0.9991702431400489,2722.52591568929,0.03450984751084761,5.047668976444337
Zambia,ZMB,1,2024-10-06,2024-11-10,4 consecutive weeks no increase,1,6,Weibull,0.9999999999999997,1.0,0.25967290516461183,77.41180057508664
Zambia,ZMB,2,2024-12-22,2025-01-05,reached last data,3,3,Weibull,1.0,3.0,0.16680147144364058,116.32359387840387
Zimbabwe,ZWE,1,2024-10-06,2024-11-10,4 consecutive weeks no increase,2,6,Weibull,1.0,2.0,0.2594091111937216,80.89374354586397
